Pclass,Age,SibSp,Parch,Fare,Ticket,Q,C,S,male,female,Survived
3,22,1,0,7.25,521171,0,0,1,1,0,0
1,38,1,0,71.2833,17599,0,1,0,0,1,1
3,26,0,0,7.925,23101282,0,0,1,0,1,1
1,35,1,0,53.1,113803,0,0,1,0,1,1
3,35,0,0,8.05,373450,0,0,1,1,0,0
3,28,0,0,8.4583,330877,1,0,0,1,0,0
1,54,0,0,51.8625,17463,0,0,1,1,0,0
3,2,3,1,21.075,349909,0,0,1,1,0,0
3,27,0,2,11.1333,347742,0,0,1,0,1,1
2,14,1,0,30.0708,237736,0,1,0,0,1,1
3,4,1,1,16.7,9549,0,0,1,0,1,1
1,58,0,0,26.55,113783,0,0,1,0,1,1
3,20,0,0,8.05,52151,0,0,1,1,0,0
3,39,1,5,31.275,347082,0,0,1,1,0,0
3,14,0,0,7.8542,350406,0,0,1,0,1,0
2,55,0,0,16,248706,0,0,1,0,1,1
3,2,4,1,29.125,382652,1,0,0,1,0,0
2,28,0,0,13,244373,0,0,1,1,0,1
3,31,1,0,18,345763,0,0,1,0,1,0
3,28,0,0,7.225,2649,0,1,0,0,1,1
2,35,0,0,26,239865,0,0,1,1,0,0
2,34,0,0,13,248698,0,0,1,1,0,1
3,15,0,0,8.0292,330923,1,0,0,0,1,1
1,28,0,0,35.5,113788,0,0,1,1,0,1
3,8,3,1,21.075,349909,0,0,1,0,1,0
3,38,1,5,31.3875,347077,0,0,1,0,1,1
3,28,0,0,7.225,2631,0,1,0,1,0,0
1,19,3,2,263,19950,0,0,1,1,0,0
3,28,0,0,7.8792,330959,1,0,0,0,1,1
3,28,0,0,7.8958,349216,0,0,1,1,0,0
1,40,0,0,27.7208,17601,0,1,0,1,0,0
1,28,1,0,146.5208,17569,0,1,0,0,1,1
3,28,0,0,7.75,335677,1,0,0,0,1,1
2,66,0,0,10.5,24579,0,0,1,1,0,0
1,28,1,0,82.1708,17604,0,1,0,1,0,0
1,42,1,0,52,113789,0,0,1,1,0,0
3,28,0,0,7.2292,2677,0,1,0,1,0,1
3,21,0,0,8.05,52152,0,0,1,1,0,0
3,18,2,0,18,345764,0,0,1,0,1,0
3,14,1,0,11.2417,2651,0,1,0,0,1,1
3,40,1,0,9.475,7546,0,0,1,0,1,0
2,27,1,0,21,11668,0,0,1,0,1,0
3,28,0,0,7.8958,349253,0,1,0,1,0,0
2,3,1,2,41.5792,2123,0,1,0,0,1,1
3,19,0,0,7.8792,330958,1,0,0,0,1,1
3,28,0,0,8.05,423567,0,0,1,1,0,0
3,28,1,0,15.5,370371,1,0,0,1,0,0
3,28,0,0,7.75,14311,1,0,0,0,1,1
3,28,2,0,21.6792,2662,0,1,0,1,0,0
3,18,1,0,17.8,349237,0,0,1,0,1,0
3,7,4,1,39.6875,3101295,0,0,1,1,0,0
3,21,0,0,7.8,439886,0,0,1,1,0,0
1,49,1,0,76.7292,17572,0,1,0,0,1,1
2,29,1,0,26,2926,0,0,1,0,1,1
1,65,0,1,61.9792,113509,0,1,0,1,0,0
1,28,0,0,35.5,19947,0,0,1,1,0,1
2,21,0,0,10.5,31026,0,0,1,0,1,1
3,29,0,0,7.2292,2697,0,1,0,1,0,0
2,5,1,2,27.75,34651,0,0,1,0,1,1
3,11,5,2,46.9,2144,0,0,1,1,0,0
3,22,0,0,7.2292,2669,0,1,0,1,0,0
